sim_to_OFF,sim_to_NOT,escaped
0.9893059,0.64875543,False
0.94492227,0.6169546,False
0.87180716,0.6546973,False
0.99879825,0.64887,False
0.9277165,0.6710466,False
0.9701456,0.61282575,False
0.97816664,0.7208152,False
0.999846,0.4165147,False
0.98388165,0.42427987,False
0.9863967,0.9385144,False
0.9922055,0.69753885,False
0.96828556,0.8811656,False
0.96212137,0.53927183,False
0.9536682,0.71561515,False
0.93418145,0.6104848,False
0.99883246,0.8429258,False
1.0,1.0,False
0.9467944,0.7960563,False
0.9226825,0.54216903,False
0.8460812,0.44956076,False
0.99328643,0.43325347,False
0.84341955,0.42736262,False
0.89571786,0.550525,False
0.9607823,0.56385875,False
0.9205165,0.7046749,False
0.95866334,0.72640646,False
0.9511869,0.61180335,False
0.99807596,0.51303256,False
0.99984723,0.5447727,False
0.9728145,0.62479293,False
0.99832726,0.5993333,False
0.99158776,0.6268564,False
0.93752706,0.68055487,False
0.99999005,0.49461314,False
0.9177936,0.72186995,False
0.9178294,0.66640705,False
0.9990914,0.9990913,False
0.9999156,0.463009,False
0.9369318,0.66752946,False
0.88325757,0.71529716,False
0.99998856,0.7844732,False
0.9487298,0.52140176,False
0.97759473,0.58105254,False
0.98531926,0.74827164,False
0.99432695,0.60254496,False
0.9967898,0.6159128,False
0.8685931,0.46842134,False
0.99507964,0.7186371,False
0.9654913,0.7705098,False
0.98480445,0.5133816,False
0.8862729,0.65451276,False
0.93062663,0.66506803,False
0.9981023,0.6370399,False
1.0,0.5458945,False
0.98116934,0.6554178,False
0.9855841,0.59445107,False
0.9951075,0.62793505,False
0.97451806,0.53897035,False
0.97622037,0.5570005,False
0.9888303,0.4680496,False
0.9750593,0.643973,False
0.9464958,0.5148237,False
0.9529177,0.6823999,False
0.8568903,0.45365074,False
0.9832313,0.45933744,False
0.899448,0.6228828,False
0.9711273,0.49487612,False
0.94552416,0.61104125,False
0.9839005,0.68247235,False
0.9918681,0.7044033,False
0.9522587,0.54102767,False
0.9598851,0.7125988,False
0.99999154,0.48059675,False
0.99849236,0.45228696,False
0.89727867,0.44118458,False
0.9675009,0.38249302,False
0.9808961,0.70249397,False
0.9893435,0.82011163,False
0.98447764,0.5247928,False
0.98733485,0.6912135,False
0.9634159,0.6305722,False
0.96153677,0.70693946,False
0.97836506,0.7325774,False
0.90180933,0.5340693,False
0.8980243,0.55329585,False
0.9679322,0.82473874,False
0.89958525,0.5682149,False
0.9561933,0.6316612,False
0.994457,0.8009973,False
0.9762609,0.5580873,False
0.99143326,0.64684045,False
0.9502928,0.58719826,False
0.89209425,0.68524337,False
0.9983301,0.79098487,False
0.9311509,0.52599394,False
0.9450451,0.5849345,False
0.9699973,0.6312587,False
0.942573,0.5516076,False
0.96434593,0.50017864,False
0.9578635,0.6164894,False
0.99219495,0.4813797,False
0.99096394,0.6346294,False
0.99710286,0.7023437,False
0.9812249,0.7174715,False
0.9233861,0.7456993,False
0.9686657,0.55392766,False
0.9154671,0.6816612,False
0.98860705,0.41706514,False
0.8679807,0.6799392,False
0.96330243,0.5437075,False
0.90691066,0.42985314,False
0.9837444,0.4988902,False
0.8772644,0.6038749,False
0.9685053,0.52615625,False
0.90060544,0.41492712,False
0.8443972,0.56891334,False
0.9715041,0.64928466,False
0.87036544,0.5361343,False
0.99679387,0.67380667,False
0.9999906,0.7711894,False
0.99996114,0.6320051,False
0.99559015,0.7881549,False
0.8914511,0.5352497,False
0.99092215,0.7627205,False
0.9339036,0.7820926,False
0.9593029,0.49214202,False
0.9975107,0.73059314,False
0.9845705,0.6589427,False
0.9984083,0.55181664,False
0.9145528,0.69910353,False
0.8554028,0.5317788,False
0.9622107,0.5415166,False
0.90428925,0.631143,False
0.9983859,0.6485895,False
0.92665297,0.6986318,False
0.9999063,0.629828,False
0.9998284,0.62465936,False
0.968845,0.53063107,False
0.967968,0.48003235,False
0.9916008,0.64847755,False
0.919152,0.5462315,False
0.99914056,0.5717513,False
0.9179436,0.4927364,False
0.9975543,0.7380352,False
0.8665949,0.3965475,False
0.9861406,0.86242634,False
0.8404241,0.46163386,False
0.98333514,0.67832303,False
0.9800999,0.62818563,False
0.9951284,0.45516622,False
0.99998164,0.63127464,False
0.9961258,0.80155754,False
0.9612434,0.4574202,False
0.9637642,0.7463969,False
0.9300388,0.5855264,False
0.99278,0.64139897,False
0.9946572,0.691113,False
0.99872947,0.62463653,False
0.9999142,0.42484382,False
0.9879539,0.6127529,False
