sim_to_OFF,sim_to_NOT,escaped
0.97404146,0.5448531,False
0.8116341,0.65750384,False
0.8349484,0.4453606,False
0.9565778,0.64523417,False
0.99836767,0.5337142,False
0.9640255,0.5440585,False
0.784937,0.5361412,False
0.97937727,0.50668144,False
0.98813355,0.4492716,False
0.83533084,0.48986426,False
0.97139156,0.5362164,False
0.9683199,0.55456996,False
0.9988704,0.41082567,False
0.9924005,0.43963516,False
0.78004575,0.56657934,False
0.86975,0.48485544,False
0.8234993,0.48857358,False
0.7384038,0.530933,False
0.7782345,0.5369576,False
0.98573184,0.4194875,False
0.9994184,0.5344776,False
0.98213434,0.40867037,False
0.7789989,0.6570802,False
0.84213156,0.6547495,False
0.99995756,0.5993411,False
0.87337136,0.5269791,False
0.9804543,0.57217526,False
0.8631777,0.640937,False
0.8746968,0.6199763,False
0.7377967,0.50257707,False
0.99875665,0.7000431,False
0.98629117,0.7088832,False
0.99991477,0.64037406,False
0.99027264,0.5667373,False
0.997224,0.74632406,False
0.99178797,0.50025666,False
0.9983428,0.592178,False
0.9876907,0.65904045,False
0.76568496,0.4312073,False
0.99961287,0.53861845,False
0.93954533,0.5248591,False
0.7232492,0.46289688,False
0.9301817,0.46401504,False
0.765481,0.47774532,False
0.96632946,0.64334166,False
0.98165596,0.61240673,False
0.97093976,0.63698876,False
0.9884273,0.6385267,False
0.9608977,0.38235623,False
0.9826556,0.47128752,False
0.9842015,0.3276853,False
0.9982132,0.35445407,False
0.83402455,0.47731313,False
0.90781546,0.4707151,False
0.89422214,0.58384407,False
0.85149014,0.5576006,False
0.98737144,0.67607987,False
0.77343714,0.49680933,False
0.9879107,0.5167285,False
0.906384,0.5074301,False
0.9684082,0.5479504,False
0.8007047,0.44451872,False
0.9208418,0.52307147,False
0.99405396,0.683197,False
0.98116666,0.52063483,False
0.8775588,0.48947585,False
0.9983649,0.49089164,False
0.9689362,0.37989682,False
0.99312973,0.4233812,False
0.99993145,0.5354638,False
0.9767751,0.43068817,False
0.96322334,0.582652,False
0.94088686,0.6268264,False
0.97663563,0.40667647,False
0.9952034,0.55601835,False
0.8386924,0.35162342,False
0.87412393,0.4448231,False
0.7819971,0.5532577,False
0.95792466,0.37572655,False
0.99990165,0.49275944,False
0.98667485,0.49205688,False
0.99999475,0.49508268,False
0.9993708,0.56839657,False
0.8674301,0.5844686,False
0.9981752,0.6507052,False
0.9997243,0.5225018,False
0.82741725,0.46379137,False
0.97248346,0.54304636,False
0.93451124,0.36187354,False
0.95257,0.6472546,False
0.9885161,0.5738011,False
0.8477287,0.5730194,False
0.9881216,0.5438911,False
0.94635,0.56578755,False
0.9194413,0.40153167,False
0.82221454,0.5561336,False
0.97686917,0.5482598,False
0.97176015,0.56677926,False
0.9963287,0.62115806,False
0.81616765,0.61119646,False
0.99995804,0.6916392,False
0.9713561,0.5503396,False
0.89631176,0.5060434,False
0.83134484,0.5624384,False
0.93728185,0.5570111,False
0.9996059,0.5227837,False
0.97583604,0.6704602,False
0.9844427,0.45449373,False
0.80286396,0.5018666,False
0.99791276,0.6789307,False
0.9022095,0.47280964,False
0.8607706,0.63871956,False
0.8998289,0.64145035,False
0.95643735,0.4758382,False
0.9561486,0.64342153,False
0.9314248,0.5387874,False
0.89115584,0.53883386,False
0.8634967,0.55832875,False
0.95208174,0.5459595,False
0.98239696,0.5506376,False
0.97113186,0.8325956,False
0.8769043,0.5966707,False
0.969061,0.50848544,False
0.98677003,0.55518055,False
0.9463551,0.55764335,False
0.76655036,0.58346474,False
0.97647893,0.51073396,False
0.9542239,0.44217962,False
0.9776913,0.49838257,False
0.97720253,0.63488185,False
0.9923796,0.59355783,False
0.9947642,0.5993742,False
0.9685264,0.5946363,False
0.8787329,0.605481,False
0.8450811,0.55319715,False
0.97964203,0.43999892,False
0.99587035,0.7146007,False
0.9906386,0.49836734,False
0.9947156,0.48281533,False
0.81130123,0.45464545,False
0.955158,0.4812357,False
0.96928656,0.60423076,False
0.79263294,0.33684778,False
0.9688112,0.58225286,False
0.9309144,0.5544417,False
0.85469556,0.6273091,False
0.9862062,0.42007655,False
0.8493069,0.5744016,False
0.96653116,0.66993797,False
0.9345134,0.48230964,False
0.99993455,0.5373677,False
0.9953573,0.48477972,False
0.9731805,0.43318748,False
0.9371965,0.475887,False
0.8846569,0.8846569,False
0.9191701,0.39950174,False
0.9964454,0.72584075,False
0.9766709,0.47140414,False
0.9996295,0.54835474,False
